Country Name,Country Code,population
South Asia,SAS,1814.388744
Saudi Arabia,SAU,33.699947
Sudan,SDN,41.801533
Senegal,SEN,15.85436
Singapore,SGP,5.638676
Solomon Islands,SLB,0.652858
Sierra Leone,SLE,7.650154
El Salvador,SLV,6.420744
San Marino,SMR,0.033785
Somalia,SOM,15.008154
Serbia,SRB,6.982604
Sub-Saharan Africa (excluding high income),SSA,1078.209758
South Sudan,SSD,10.97592
Sub-Saharan Africa,SSF,1078.30652
Small states,SST,40.575321
Sao Tome and Principe,STP,0.211028
Suriname,SUR,0.575991
Slovak Republic,SVK,5.446771
Slovenia,SVN,2.073894
Sweden,SWE,10.175214
Eswatini,SWZ,1.136191
Sint Maarten (Dutch part),SXM,0.040654
Seychelles,SYC,0.096762
Syrian Arab Republic,SYR,16.906283
Turks and Caicos Islands,TCA,0.037665
Chad,TCD,15.477751
East Asia & Pacific (IDA & IBRD countries),TEA,2056.064424
Europe & Central Asia (IDA & IBRD countries),TEC,459.865205
Togo,TGO,7.889094
Thailand,THA,69.428524
Tajikistan,TJK,9.100837
Turkmenistan,TKM,5.850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,625.569713
Timor-Leste,TLS,1.267972
Middle East & North Africa (IDA & IBRD countries),TMN,378.327628
Tonga,TON,0.103197
South Asia (IDA & IBRD),TSA,1814.388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078.30652
Trinidad and Tobago,TTO,1.389858
Tunisia,TUN,11.565204
Turkey,TUR,82.319724
Tuvalu,TUV,0.011508
Tanzania,TZA,56.318348
Uganda,UGA,42.723139
Ukraine,UKR,44.622516
Upper middle income,UMC,2655.635719
Uruguay,URY,3.449299
United States,USA,326.687501
Uzbekistan,UZB,32.9554
St. Vincent and the Grenadines,VCT,0.11021
"Venezuela, RB",VEN,28.870195
British Virgin Islands,VGB,0.029802
Virgin Islands (U.S.),VIR,0.106977
Vietnam,VNM,95.540395
Vanuatu,VUT,0.29268
World,WLD,7594.270356
Samoa,WSM,0.19613
Kosovo,XKX,1.8453
"Yemen, Rep.",YEM,28.498687
South Africa,ZAF,57.779622
Zambia,ZMB,17.351822
Zimbabwe,ZWE,14.439018
